product,canonical,status,sha256,extra_count,p1_fail,p2_fail,sheet_count,formula_count,chart_count,real_hyperlinks,reason
kdv-iade-listesi-robotu-gib7,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/kdv-iade-listesi-robotu-gib7/KdvIadeListesiRobotuGib7.xlsx,READY_FOR_REVIEW,e3c25b5f860722ad15603e764e5b8dcb6e30df94fe6287a7c8366b4afd86072d,0,0,0,20,391,11,38,
kdv-iadesi-azami-alacak-hesabi-dosya-hazirlayici,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/kdv-iadesi-azami-alacak-hesabi-dosya-hazirlayici/KdvIadesiAzamiAlacakHesabi.xlsx,READY_FOR_REVIEW,9eedb7b5d4cfabfe977a5e41bb44dc03ebb24d5d38b57618775eba7e2eca39e0,0,0,0,18,4187,8,34,
kdv-iadesi-tutar-surec-simulasyonu,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/kdv-iadesi-tutar-surec-simulasyonu/KdvIadesiTutarSurecSimulasyonu.xlsx,READY_FOR_REVIEW,3834a4a2b86e8e43948f107ed57f49e3a7fedb9c6f3684fd2669b8a114fe375d,0,0,0,18,9291,8,34,
kdv-tevkifat-mahsup-iade-listesi,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/kdv-tevkifat-mahsup-iade-listesi/KdvTevkifatMahsupIadeListesi.xlsx,READY_FOR_REVIEW,49c44ac5fc14a011f650b8e6fbd2d8a29c442a1cfd78c686bff3d02d482036ea,0,0,0,15,451,11,28,
kidem-ihbar-yuku-ve-personel-cikarma-maliyeti-hesaplayici,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/kidem-ihbar-yuku-ve-personel-cikarma-maliyeti-hesaplayici/KidemIhbarYukuVePersonelCikarmaMaliyetiHesaplayici.xlsx,READY_FOR_REVIEW,ae96a8565e22995880c5088bcf6a19628e3d4b136ac7706a5f97c045a3343b66,0,0,0,17,303,7,32,
kik-asiri-dusuk-savunma-sinir-deger,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/kik-asiri-dusuk-savunma-sinir-deger/KikAsiriDusukSavunmaSinirDeger.xlsx,READY_FOR_REVIEW,682c5a5443c591f3ad7dda0bae0a58cd11826b50eb4aa098d8d8991d45bb5cd0,0,0,0,15,3258,9,28,
kira-avans-takip-dekont,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/kira-avans-takip-dekont/KiraAvansTakipDekont.xlsx,READY_FOR_REVIEW,88c761f5181aa864307f6a9512a2ac07709497806021244452422734461eb3f6,0,0,0,15,3964,9,28,
kira-portfoyu-getiri-komutasi,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/kira-portfoyu-getiri-komutasi/KiraPortfoyuGetiriKomutasi 2.xlsx,READY_FOR_REVIEW,6ae03229ebdef7268e9b5c4cb92f0801d2f4bc4ac4d74d36c6d0b541317d3049,0,0,0,14,3464,10,26,
kkeg-ve-finansman-gider-kisitlamasi-vergi-savunma-seti,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/kkeg-ve-finansman-gider-kisitlamasi-vergi-savunma-seti/KkegVeFinansmanGiderKisitlamasiVergiSavunmaSeti.xlsx,READY_FOR_REVIEW,3060d3ad4784b0f9282b702ea94f41ed5d20263cae1c4109a6fb2a9dbda90324,0,0,0,19,8176,8,36,
klinik-saglik-merkezi-fizibilite-ve-karlilik,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/klinik-saglik-merkezi-fizibilite-ve-karlilik/current.xlsx,READY_FOR_REVIEW,70f57fc412baf4eb25f8f6a58fc037692c1ff8b1c168c82d7719cf9af165a33d,0,0,0,38,88,0,74,
kobi-finans-yonetim-paketi,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/kobi-finans-yonetim-paketi/KobiFinansYonetimPaketi.xlsx,READY_FOR_REVIEW,6a535db19808d6a3d7b4aaeb91a5e268ad9c3b9211595e47fe3137606ec8d7a9,0,0,0,19,439,8,36,
konkordato-nakit-akis-on-projesi,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/konkordato-nakit-akis-on-projesi/KonkordatoNakitAkisOnProjesi.xlsx,READY_FOR_REVIEW,2c3bc2a8a22743c09feda81936913658211b00168cc9cbac451f43fcc6486557,0,0,0,15,2139,8,28,
konkordato-ttk376-kriz-paketi,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/konkordato-ttk376-kriz-paketi/KonkordatoTtk376KrizPaketi.xlsx,READY_FOR_REVIEW,7828ad9f1c529b70460e38e9bd6f35683ac20f75a7555200de89b33012491062,0,0,0,15,2260,9,28,
kvkk-veri-envanteri-verbis-uyum,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/kvkk-veri-envanteri-verbis-uyum/KvkkVeriEnvanteriVerbisUyum.xlsx,READY_FOR_REVIEW,f3c0c4588bb54b844dad6eafacc57e4404a8cd8eab31ae7397f9319551a71610,0,0,0,13,2219,8,24,
makine-bakim-kalibrasyon-durus-maliyeti,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/makine-bakim-kalibrasyon-durus-maliyeti/MakineBakimKalibrasyonDurusMaliyeti.xlsx,READY_FOR_REVIEW,8c4fa879a46c7897fd5f005b51f18ab1a802e8c09305fc85869f5b76184a46ff,0,0,0,15,2711,8,28,
mini-mrp-bom-malzeme-kapasite,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/mini-mrp-bom-malzeme-kapasite/MiniMrpBomMalzemeKapasite.xlsx,READY_FOR_REVIEW,0648d534e57c15a443d6d1caac5ca714610aa50978d57a6fffd3e6f3786302a6,0,0,0,13,2928,8,24,
mizan-anomali-denetim-oncesi-kontrol,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/mizan-anomali-denetim-oncesi-kontrol/MizanAnomaliDenetimOncesiKontrol.xlsx,READY_FOR_REVIEW,e04b3bdb9ee973563c142ce80669b75028d51723be9f79bdc5e4c7a70d72b51c,0,0,0,16,34609,8,30,
mutfak-kayip-kacak-hesaplayici,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/mutfak-kayip-kacak-hesaplayici/MutfakKayipKacakHesaplayici.xlsx,READY_FOR_REVIEW,bfacf677c99a2265789fe3aa33edadc8e8a5e0a16e707e98af4fc9efd9a2c3df,0,0,0,18,1732,8,34,
nakliye-maliyeti-hesaplayici,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/nakliye-maliyeti-hesaplayici/NakliyeMaliyetiHesaplayici.xlsx,READY_FOR_REVIEW,d8e9ea47a7808db7822d9108d33330b881a4e7ab68455227ad5b5c56bca09a29,0,0,0,18,1403,8,34,
oee-durus-kok-neden-komutasi,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/oee-durus-kok-neden-komutasi/OeeDurusKokNedenKomutasi 2.xlsx,READY_FOR_REVIEW,c47f56383fa68dbf8c8b2c6b07e5678f8f18516598fe6d7533aea02a1188f283,0,0,0,14,4215,10,26,
on-uc-haftalik-nakit-akisi-ve-odeme-planlama-sistemi,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/on-uc-haftalik-nakit-akisi-ve-odeme-planlama-sistemi/OnUcHaftalikNakitAkisiVeOdemePlanlamaSistemi.xlsx,READY_FOR_REVIEW,f0935593c25f036eca2ca0bcaa0f9e36b79ffc8041fb35add903058ad2db9eaf,0,0,0,19,570,10,36,
on-uc-haftalik-nakit-odeme-onceligi,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/on-uc-haftalik-nakit-odeme-onceligi/OnUcHaftalikNakitOdemeOnceligi.xlsx,READY_FOR_REVIEW,114d890085b99940bf0f9caa3b85f50c7a36ecfb4f870b5700d28f013e2339e1,0,0,0,13,2178,8,24,
